Cluster	DNase_ENCODE_ID	DNase_Output_Type	HiC_File_Accession
A673_ENCSR114QAK_ENCFF129LMU	ENCFF037RUL	alignments	ENCFF129LMU
B_cell_ENCSR468AKF_ENCFF076LWH	ENCFF213FNG	alignments	ENCFF076LWH
CD14-positive_monocyte_ENCSR241BNZ_ENCFF185AYZ	ENCFF568RGF	alignments	ENCFF185AYZ
CD14-positive_monocyte_ENCSR464ETX_ENCFF684YCT	ENCFF418GQQ	alignments	ENCFF684YCT
CD4-positive__alpha-beta_T_cell_ENCSR376DAE_ENCFF958DWQ	ENCFF916EGX	alignments	ENCFF958DWQ
CD4-positive__alpha-beta_memory_T_cell_ENCSR239XNU_ENCFF442IGJ	ENCFF534DMM	alignments	ENCFF442IGJ
CD8-positive__alpha-beta_T_cell_ENCSR363BTB_ENCFF009ONH	ENCFF432ZTH	alignments	ENCFF009ONH
Caco-2_ENCSR255STJ_ENCFF234MDO	ENCFF368UBC, ENCFF554OTV	alignments, alignments	ENCFF234MDO
Calu3_ENCSR366NBE_ENCFF127TPS	ENCFF612BVO, ENCFF452KBW	alignments, alignments	ENCFF127TPS
GM12878_ENCSR000EMT_ENCFF318GOM	ENCFF467CXY, ENCFF940NSD	unfiltered alignments, unfiltered alignments	ENCFF318GOM
HCT116_ENCSR477IQW_ENCFF135MUT	ENCFF400YZH, ENCFF515XIW	alignments, alignments	ENCFF135MUT
HCT116_ENCSR867ITQ_ENCFF683PLM	ENCFF801KAM	alignments	ENCFF683PLM
HCT116_ENCSR980GWI_ENCFF241MSL	ENCFF766VMY	alignments	ENCFF241MSL
HCT116_ENCSR595CME_ENCFF302CUI	ENCFF464UIL, ENCFF305OHN	alignments, alignments	ENCFF302CUI
HCT116_ENCSR811COL_ENCFF104THR	ENCFF748RTZ, ENCFF226KYV	alignments, alignments	ENCFF104THR
HCT116_ENCSR498JAW_ENCFF004TKY	ENCFF958BEI, ENCFF955RHM	alignments, alignments	ENCFF004TKY
HCT116_ENCSR000ENM_ENCFF573OPJ	ENCFF166PCV, ENCFF619LVU	unfiltered alignments, unfiltered alignments	ENCFF573OPJ
HCT116_ENCSR129EWE_ENCFF435JYN	ENCFF118WQF, ENCFF708EPH	alignments, alignments	ENCFF435JYN
HCT116_ENCSR694YJR_ENCFF086ORS	ENCFF213KGB, ENCFF191GDK	alignments, alignments	ENCFF086ORS
HCT116_ENCSR878VJL_ENCFF534TYD	ENCFF028XIT, ENCFF139MVW	alignments, alignments	ENCFF534TYD
HCT116_ENCSR795ZKB_ENCFF434XQU	ENCFF076SWD, ENCFF454IID	alignments, alignments	ENCFF434XQU
HCT116_ENCSR542UWN_ENCFF912NDK	ENCFF121EVV, ENCFF720KAC	alignments, alignments	ENCFF912NDK
HCT116_ENCSR702VYW_ENCFF259YUS	ENCFF381UGQ, ENCFF556STX	alignments, alignments	ENCFF259YUS
HCT116_ENCSR690ADK_ENCFF700DEX	ENCFF523QDP	alignments	ENCFF700DEX
HCT116_ENCSR521WNU_ENCFF016JKX	ENCFF621YTZ, ENCFF587DHQ	alignments, alignments	ENCFF016JKX
HCT116_ENCSR823GSV_ENCFF528XGK	ENCFF545ONU	alignments	ENCFF528XGK
HepG2_ENCSR149XIL_ENCFF807IRK	ENCFF474LSZ, ENCFF839SPF	alignments, alignments	ENCFF807IRK
IMR-90_ENCSR000EKG_ENCFF281ILS	ENCFF361OWP	unfiltered alignments	ENCFF281ILS
K562_ENCSR000EOT_ENCFF621AIY	ENCFF325RTP, ENCFF860XAE	unfiltered alignments, unfiltered alignments	ENCFF621AIY
MCF_10A_ENCSR789VGQ_ENCFF977XWK	ENCFF416UGH	unfiltered alignments	ENCFF977XWK
MCF-7_ENCSR000EPH_ENCFF420JTA	ENCFF429VEC, ENCFF812YNL	unfiltered alignments, unfiltered alignments	ENCFF420JTA
OCI-LY7_ENCSR489NAM_ENCFF480KLP	ENCFF643CGR, ENCFF210MMO	alignments, alignments	ENCFF480KLP
PC-3_ENCSR052AWE_ENCFF322IBI	ENCFF197VOO, ENCFF695RSF	alignments, alignments	ENCFF322IBI
PC-9_ENCSR781TYE_ENCFF181ROW	ENCFF658ARC, ENCFF389ZHQ	alignments, alignments	ENCFF181ROW
Panc1_ENCSR000EPT_ENCFF522YLZ	ENCFF313EDO, ENCFF325RLI	unfiltered alignments, unfiltered alignments	ENCFF522YLZ
Right_ventricle_myocardium_inferior_ENCSR085MZL_ENCFF842DUO	ENCFF353FPQ	alignments	ENCFF842DUO
Right_ventricle_myocardium_superior_ENCSR895GSY_ENCFF273XBU	ENCFF710GZI	alignments	ENCFF273XBU
T-helper_2_cell_ENCSR223XND_ENCFF029UAL	ENCFF966RTN	alignments	ENCFF029UAL
activated_CD4-positive__alpha-beta_T_cell_ENCSR935HEI_ENCFF962EDB	ENCFF805CDT	alignments	ENCFF962EDB
activated_CD4-positive__alpha-beta_T_cell_ENCSR365CUB_ENCFF355VJW	ENCFF474YVS	alignments	ENCFF355VJW
activated_CD4-positive__alpha-beta_memory_T_cell_ENCSR021YFW_ENCFF980NXK	ENCFF996KZH	alignments	ENCFF980NXK
activated_CD8-positive__alpha-beta_T_cell_ENCSR294YEJ_ENCFF493SFI	ENCFF511NLD	alignments	ENCFF493SFI
activated_T-helper_2_cell_ENCSR780ABS_ENCFF687ATD	ENCFF612MMX	alignments	ENCFF687ATD
activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR478SWA_ENCFF571GTF	ENCFF636CPJ	alignments	ENCFF571GTF
adrenal_gland_ENCSR325FWM_ENCFF499BVX	ENCFF683WUB	alignments	ENCFF499BVX
aorta_ENCSR595DQM_ENCFF493YNC	ENCFF934AZP	alignments	ENCFF493YNC
aorta_ENCSR713KNQ_ENCFF791UZC	ENCFF381CDO	alignments	ENCFF791UZC
ascending_aorta_ENCSR968TPO_ENCFF558DYU	ENCFF361GMH	alignments	ENCFF558DYU
body_of_pancreas_ENCSR828FVZ_ENCFF140ROU	ENCFF135KGR	alignments	ENCFF140ROU
cardiac_septum_ENCSR524QBS_ENCFF081PMO	ENCFF478AUS	alignments	ENCFF081PMO
colonic_mucosa_ENCSR994KTY_ENCFF355NFJ	ENCFF018RLE	alignments	ENCFF355NFJ
dorsolateral_prefrontal_cortex_ENCSR401UZL_ENCFF925QIF	ENCFF301WKE	alignments	ENCFF925QIF
endothelial_cell_of_umbilical_vein_ENCSR000EOQ_ENCFF783KQI	ENCFF529QDQ, ENCFF016SEB	unfiltered alignments, unfiltered alignments	ENCFF783KQI
esophagus_muscularis_mucosa_ENCSR944JCE_ENCFF458VBB	ENCFF505FWC	alignments	ENCFF458VBB
esophagus_squamous_epithelium_ENCSR783OCW_ENCFF224HKR	ENCFF104MIA	alignments	ENCFF224HKR
head_of_caudate_nucleus_ENCSR116UQH_ENCFF711XSR	ENCFF829OIX	alignments	ENCFF711XSR
heart_left_ventricle_ENCSR598RVJ_ENCFF341WOY	ENCFF682TBE	alignments	ENCFF341WOY
heart_left_ventricle_ENCSR395HAE_ENCFF004YZQ	ENCFF154ILG	alignments	ENCFF004YZQ
heart_left_ventricle_ENCSR222CLC_ENCFF556RLR	ENCFF284XQW	alignments	ENCFF556RLR
