Cluster	DNase_ENCODE_ID	DNase_Output_Type
neuronal_stem_cell_ENCSR278FVO	ENCFF204GFI	unfiltered alignments
osteoblast_ENCSR000ELJ	ENCFF977LFT	unfiltered alignments
T-cell_ENCSR414IHC	ENCFF770NKI	unfiltered alignments
T-cell_ENCSR025EYJ	ENCFF377MQA	alignments
T-cell_ENCSR040DGJ	ENCFF152MXL	unfiltered alignments
T-cell_ENCSR041PCL	ENCFF071MVM	alignments
T-cell_ENCSR051CYH	ENCFF942ZXV	alignments
T-cell_ENCSR101RCL	ENCFF940WST	alignments
T-cell_ENCSR111LTT	ENCFF108ELD	alignments
T-cell_ENCSR140KPO	ENCFF569KWY	alignments
T-cell_ENCSR186NTL	ENCFF648TSX	alignments
T-cell_ENCSR198UKY	ENCFF293MVC	alignments
T-cell_ENCSR213WNV	ENCFF967WOH	alignments
T-cell_ENCSR217PZP	ENCFF906TNE	alignments
T-cell_ENCSR218FJD	ENCFF285DGZ	alignments
T-cell_ENCSR251INE	ENCFF377VKY	alignments
T-cell_ENCSR270JQK	ENCFF727ZRD	alignments
T-cell_ENCSR283MZJ	ENCFF870ABZ	alignments
T-cell_ENCSR290NGL	ENCFF728ZLL	alignments
T-cell_ENCSR299BQG	ENCFF126MXQ	alignments
T-cell_ENCSR305WLF	ENCFF337XYS	alignments
T-cell_ENCSR310ZGQ	ENCFF992HSL	alignments
T-cell_ENCSR342OGI	ENCFF278OYI	alignments
T-cell_ENCSR354SDH	ENCFF485IKK	alignments
T-cell_ENCSR366YTD	ENCFF575SPN	unfiltered alignments
T-cell_ENCSR385XHV	ENCFF664LPX	alignments
T-cell_ENCSR389IHS	ENCFF251CIK	alignments
T-cell_ENCSR396ZIN	ENCFF288WLP	alignments
T-cell_ENCSR410IYF	ENCFF907FEO	alignments
T-cell_ENCSR419OAR	ENCFF018HDG	alignments
T-cell_ENCSR420HOT	ENCFF425CQF	alignments
T-cell_ENCSR442GKD	ENCFF127DTN	alignments
T-cell_ENCSR457RVC	ENCFF787OWI	alignments
T-cell_ENCSR467MSP	ENCFF821PAI	alignments
T-cell_ENCSR473LSX	ENCFF800GJQ	alignments
T-cell_ENCSR496UER	ENCFF715TCC	alignments
T-cell_ENCSR497NLU	ENCFF407PIT	alignments
T-cell_ENCSR507XBY	ENCFF809SGB	alignments
T-cell_ENCSR540VTN	ENCFF096GHS	alignments
T-cell_ENCSR541PUY	ENCFF365VAK	alignments
T-cell_ENCSR552TPH	ENCFF558ELY	alignments
T-cell_ENCSR560MXA	ENCFF633EYK	alignments
T-cell_ENCSR561ZLY	ENCFF201MUP	alignments
T-cell_ENCSR581RSO	ENCFF890PGM	alignments
T-cell_ENCSR597URK	ENCFF051GHB	alignments
T-cell_ENCSR627QIA	ENCFF283USW	alignments
T-cell_ENCSR627UDJ	ENCFF221YGE	unfiltered alignments
T-cell_ENCSR628IRM	ENCFF945AXF	unfiltered alignments
T-cell_ENCSR630XDN	ENCFF283NJI	alignments
T-cell_ENCSR631XIF	ENCFF845VIU	alignments
T-cell_ENCSR635URJ	ENCFF304ENV	alignments
T-cell_ENCSR642DZF	ENCFF608NVR	alignments
T-cell_ENCSR715TMH	ENCFF423ZPD	alignments
T-cell_ENCSR784RMA	ENCFF547RIP	alignments
T-cell_ENCSR785RIM	ENCFF427ZCV	alignments
T-cell_ENCSR788SKJ	ENCFF346ZFK	alignments
T-cell_ENCSR803JVQ	ENCFF055SUH	alignments
T-cell_ENCSR815DWW	ENCFF387TXI	alignments
T-cell_ENCSR837ZSS	ENCFF824MHY	alignments
T-cell_ENCSR863LZT	ENCFF167LIP	alignments
T-cell_ENCSR878ITC	ENCFF625OES	alignments
T-cell_ENCSR926SNI	ENCFF252DLW	alignments
T-cell_ENCSR934IKS	ENCFF475QIO	alignments
T-cell_ENCSR965JHW	ENCFF207YBC	alignments
bipolar_neuron_ENCSR626RVD	ENCFF772EJG, ENCFF125JWY	alignments, alignments
endothelial_cell_ENCSR541IET	ENCFF537CMG, ENCFF271JOQ	alignments, alignments
astrocyte_ENCSR146KFX	ENCFF639ETA	alignments
astrocyte_ENCSR000EPM	ENCFF368UGK, ENCFF451KYB	unfiltered alignments, unfiltered alignments
mesenchymal_stem_cell_ENCSR731QLJ	ENCFF701GQV	unfiltered alignments
adipocyte_ENCSR405TXU	ENCFF723BNI, ENCFF239CCZ	alignments, alignments
osteocyte_ENCSR818HHN	ENCFF039RUP	alignments
chondrocyte_ENCSR970DQR	ENCFF098QWQ, ENCFF099TKH	alignments, alignments
type_B_pancreatic_cell_ENCSR362ZFC	ENCFF843AJO	alignments
hepatocyte_ENCSR364MFN	ENCFF538CJS, ENCFF851CVH	alignments, alignments
hepatocyte_ENCSR000EJU	ENCFF071UJW	unfiltered alignments
myocyte_ENCSR000EPD	ENCFF139KTJ, ENCFF517TZQ	unfiltered alignments, unfiltered alignments
skeletal_muscle_cell_ENCSR000EQA	ENCFF724SPV	unfiltered alignments
mesodermal_cell_ENCSR000EMX	ENCFF604YMS	unfiltered alignments
endodermal_cell_ENCSR166KPV	ENCFF308CYR, ENCFF579AOS	alignments, alignments
endodermal_cell_ENCSR940CXU	ENCFF953MMX	alignments
B_cell_ENCSR000EII	ENCFF047WQS	unfiltered alignments
B_cell_ENCSR000EMJ	ENCFF168UUE, ENCFF138JHZ	unfiltered alignments, unfiltered alignments
B_cell_ENCSR247IUJ	ENCFF389YHU	unfiltered alignments
B_cell_ENCSR381PXW	ENCFF111HWL	unfiltered alignments
B_cell_ENCSR468AKF	ENCFF213FNG	alignments
B_cell_ENCSR891VOV	ENCFF448DRO	unfiltered alignments
keratinocyte_ENCSR000ELH	ENCFF478FRB	unfiltered alignments
keratinocyte_ENCSR000EPQ	ENCFF898SOZ, ENCFF474YKG	unfiltered alignments, unfiltered alignments
trophoblast_cell_ENCSR179CDH	ENCFF235GOT	unfiltered alignments
trophoblast_cell_ENCSR121ZSL	ENCFF787BIT, ENCFF143HYS	alignments, alignments
trophoblast_cell_ENCSR593LTJ	ENCFF610MXQ, ENCFF854SID	alignments, alignments
trophoblast_cell_ENCSR809LCE	ENCFF139OOY	alignments
trophoblast_cell_ENCSR964MZQ	ENCFF809XEZ, ENCFF632VEJ	alignments, alignments
skeletal_muscle_myoblast_ENCSR000EOO	ENCFF253FMQ, ENCFF372SZT	unfiltered alignments, unfiltered alignments
T-helper_1_cell_ENCSR000EIG	ENCFF112GVG	unfiltered alignments
T-helper_1_cell_ENCSR000EQC	ENCFF995TGB, ENCFF533FVX	unfiltered alignments, unfiltered alignments
T-helper_1_cell_ENCSR000EQD	ENCFF752UQO	unfiltered alignments
T-helper_1_cell_ENCSR000EQE	ENCFF936EGM, ENCFF944ZQZ	unfiltered alignments, unfiltered alignments
T-helper_1_cell_ENCSR035SZE	ENCFF681FDL	alignments
T-helper_1_cell_ENCSR058ELM	ENCFF663ZYE	alignments
T-helper_1_cell_ENCSR260UJJ	ENCFF060ORA	alignments
T-helper_1_cell_ENCSR384GGJ	ENCFF889NJK	alignments
T-helper_1_cell_ENCSR453RFW	ENCFF692JSM	alignments
