Description	lab	award	annotation_type	assay_term_name	organism	biosample_ontology	experimental_input	aliases	software_used	disease_term_id
ENCODE-rE2G predictions for neuronal stem cell; Donor: ENCDO000AAW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0000047/	ENCSR278FVO	jesse-engreitz:encode_re2g_predictions_neuronal_stem_cell_ENCSR278FVO	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for osteoblast; Donor: ENCDO271AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000062/	ENCSR000ELJ	jesse-engreitz:encode_re2g_predictions_osteoblast_ENCSR000ELJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO190HXC	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR414IHC	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR414IHC	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO642VEO	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR025EYJ	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR025EYJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO685OXD	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR040DGJ	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR040DGJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR041PCL	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR041PCL	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO833KUM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR051CYH	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR051CYH	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO106CDP	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR101RCL	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR101RCL	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO413JVE	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR111LTT	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR111LTT	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000084/	ENCSR140KPO	jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR140KPO	encode:re2g_modelV2.0.0	
