Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	DNase Experiment accession	DNase Experiment date released	DNase Lab	DNase Donor(s)	DNase File accession	DNase Output type	DNase Run type	ENCODE-rE2G v1
CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR278FVO	2013-07-31	Zhiping Weng, UMass	/human-donors/ENCDO000AAW/	ENCFF204GFI	unfiltered alignments	single-ended	TRUE
CL:0000062	osteoblast	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000ELJ	2011-04-19	Gregory Crawford, Duke	/human-donors/ENCDO271AAA/	ENCFF977LFT	unfiltered alignments	single-ended	TRUE
CL:0000084	T-cell	primary cell	Homo sapiens	G-CSF	7.5 μg/kg	4 day	NA	NA	NA	NA	NA	NA	ENCSR414IHC	2013-07-31	Zhiping Weng, UMass	/human-donors/ENCDO190HXC/	ENCFF770NKI	unfiltered alignments	single-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR025EYJ	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO642VEO/	ENCFF377MQA	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR040DGJ	2013-07-31	Zhiping Weng, UMass	/human-donors/ENCDO685OXD/	ENCFF152MXL	unfiltered alignments	single-ended	TRUE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR041PCL	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO299FMV/	ENCFF071MVM	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR051CYH	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO833KUM/	ENCFF942ZXV	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR101RCL	2023-01-27	John Stamatoyannopoulos, UW	/human-donors/ENCDO106CDP/	ENCFF940WST	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR111LTT	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO413JVE/	ENCFF108ELD	alignments	paired-ended	FALSE
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR140KPO	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO299FMV/	ENCFF569KWY	alignments	paired-ended	FALSE
