Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	DNase Experiment accession	DNase Experiment date released	DNase Lab	DNase Donor(s)	DNase File accession	DNase Output type	DNase Run type	ENCODE-rE2G v1	thresholded_bedpe_SYNAPSE_ID	full_predictions_SYNAPSE_ID	thresholded_bigInteract_SYNAPSE_ID	thresholded_predictions_SYNAPSE_ID
CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR278FVO	2013-07-31	Zhiping Weng, UMass	/human-donors/ENCDO000AAW/	ENCFF204GFI	unfiltered alignments	single-ended	True	syn55173860	syn55173861	syn55173858	syn55173859
CL:0000062	osteoblast	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000ELJ	2011-04-19	Gregory Crawford, Duke	/human-donors/ENCDO271AAA/	ENCFF977LFT	unfiltered alignments	single-ended	True	syn55175606	syn55175610	syn55175603	syn55175605
CL:0000084	T-cell	primary cell	Homo sapiens	G-CSF	7.5 μg/kg	4 day	NA	NA	NA	NA	NA	NA	ENCSR414IHC	2013-07-31	Zhiping Weng, UMass	/human-donors/ENCDO190HXC/	ENCFF770NKI	unfiltered alignments	single-ended	False	syn55175611	syn55175616	syn55175608	syn55175607
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR025EYJ	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO642VEO/	ENCFF377MQA	alignments	paired-ended	False	syn55175615	syn55175619	syn55175609	syn55175614
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR040DGJ	2013-07-31	Zhiping Weng, UMass	/human-donors/ENCDO685OXD/	ENCFF152MXL	unfiltered alignments	single-ended	True	syn55175620	syn55175624	syn55175617	syn55175618
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR041PCL	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO299FMV/	ENCFF071MVM	alignments	paired-ended	False	syn55175625	syn55175629	syn55175621	syn55175622
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR051CYH	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO833KUM/	ENCFF942ZXV	alignments	paired-ended	False	syn55175628	syn55175634	syn55175626	syn55175627
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR101RCL	2023-01-27	John Stamatoyannopoulos, UW	/human-donors/ENCDO106CDP/	ENCFF940WST	alignments	paired-ended	False	syn55175635	syn55175639	syn55175630	syn55175632
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR111LTT	2020-10-02	John Stamatoyannopoulos, UW	/human-donors/ENCDO413JVE/	ENCFF108ELD	alignments	paired-ended	False	syn55175638	syn55175643	syn55175636	syn55175637
CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR140KPO	2020-09-25	John Stamatoyannopoulos, UW	/human-donors/ENCDO299FMV/	ENCFF569KWY	alignments	paired-ended	False	syn55175644	syn55175647	syn55175640	syn55175642
