Cluster	DNase_ENCODE_ID	DNase_Output_Type	thresholded_bigInteract	full_predictions	thresholded_bedpe	thresholded_predictions	thresholded_bedpe_SYNAPSE_ID	full_predictions_SYNAPSE_ID	thresholded_bigInteract_SYNAPSE_ID	thresholded_predictions_SYNAPSE_ID
neuronal_stem_cell_ENCSR278FVO	ENCFF204GFI	unfiltered alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_neuronal_stem_cell_ENCSR278FVO_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_neuronal_stem_cell_ENCSR278FVO_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_neuronal_stem_cell_ENCSR278FVO_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_neuronal_stem_cell_ENCSR278FVO_thresholded_predictions.tsv.gz	syn55173860	syn55173861	syn55173858	syn55173859
osteoblast_ENCSR000ELJ	ENCFF977LFT	unfiltered alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_osteoblast_ENCSR000ELJ_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_osteoblast_ENCSR000ELJ_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_osteoblast_ENCSR000ELJ_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_osteoblast_ENCSR000ELJ_thresholded_predictions.tsv.gz	syn55175606	syn55175610	syn55175603	syn55175605
T-cell_ENCSR414IHC	ENCFF770NKI	unfiltered alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR414IHC_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR414IHC_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR414IHC_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR414IHC_thresholded_predictions.tsv.gz	syn55175611	syn55175616	syn55175608	syn55175607
T-cell_ENCSR025EYJ	ENCFF377MQA	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR025EYJ_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR025EYJ_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR025EYJ_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR025EYJ_thresholded_predictions.tsv.gz	syn55175615	syn55175619	syn55175609	syn55175614
T-cell_ENCSR040DGJ	ENCFF152MXL	unfiltered alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR040DGJ_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR040DGJ_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR040DGJ_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR040DGJ_thresholded_predictions.tsv.gz	syn55175620	syn55175624	syn55175617	syn55175618
T-cell_ENCSR041PCL	ENCFF071MVM	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR041PCL_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR041PCL_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR041PCL_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR041PCL_thresholded_predictions.tsv.gz	syn55175625	syn55175629	syn55175621	syn55175622
T-cell_ENCSR051CYH	ENCFF942ZXV	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR051CYH_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR051CYH_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR051CYH_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR051CYH_thresholded_predictions.tsv.gz	syn55175628	syn55175634	syn55175626	syn55175627
T-cell_ENCSR101RCL	ENCFF940WST	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR101RCL_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR101RCL_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR101RCL_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR101RCL_thresholded_predictions.tsv.gz	syn55175635	syn55175639	syn55175630	syn55175632
T-cell_ENCSR111LTT	ENCFF108ELD	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR111LTT_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR111LTT_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR111LTT_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR111LTT_thresholded_predictions.tsv.gz	syn55175638	syn55175643	syn55175636	syn55175637
T-cell_ENCSR140KPO	ENCFF569KWY	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_T-cell_ENCSR140KPO_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_T-cell_ENCSR140KPO_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_T-cell_ENCSR140KPO_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_T-cell_ENCSR140KPO_thresholded_predictions.tsv.gz	syn55175644	syn55175647	syn55175640	syn55175642
